TIPO LINEA;TIPO;LETRA;NUMERO FORMATEADO;FECHA;CAEA NRO;CAEA VTO;COD CLIENTE;CUIT;RAZON SOCIAL;RESUMEN;TIPO PEDIDO;CODIGO BARRA;DESCRIPCION;PCIO VTA PUB;BASE EXCENTA+GRAVADO;IVA;OTROS IMPUESTOS;IMPORTE TOTAL;UNIDADES;LINEAS;CLASIF PRODUCTO;LABORATORIO;CONDICION IVA;PORC IVA;PCIO UNITARIO
Cabecera;FC;A;1114-08061587;01/02/2025;C.A.E.A. Nro.: 35045996448201;Fecha de Vencimiento: 15/02/2025;4793126;30-70882226-0;NUEVA VILLA SRL;5;OFERTA TRANSFER ;;;;2586062.89;0;19395.48;2605458.37;110;4;;;;;
Detalle;FC;A;1114-08061587;;;;;;;;;7795320007718;TESTOVIRON DEPOT 250MG IM.INY.AM.OL X1ML;646766.4;414822.59;0;3111.17;417933.76;20;;Eticos;RAYMOS - MEGALABS ARG;Producto Exento;0;20741.1295
Detalle;FC;A;1114-08061587;;;;;;;;;7795320051247;QLAIRA COM.RE X28;2276415.6;1460046.06;0;10950.35;1470996.41;60;;Eticos;RAYMOS - MEGALABS ARG;Producto Exento;0;24334.101
Detalle;FC;A;1114-08061587;;;;;;;;;7795320000504;YASMINELLE COM.RE X28;919149.75;589523.74;0;4421.43;593945.17;25;;Eticos;RAYMOS - MEGALABS ARG;Producto Exento;0;23580.9496
Detalle;FC;A;1114-08061587;;;;;;;;;7795320051247;QLAIRA COM.RE X28;189701.3;121670.5;0;912.53;122583.03;5;;Eticos;RAYMOS - MEGALABS ARG;Producto Exento;0;24334.1
Cabecera;FC;A;1114-08061588;01/02/2025;C.A.E.A. Nro.: 35045996448201;Fecha de Vencimiento: 15/02/2025;4793126;30-70882226-0;NUEVA VILLA SRL;5;OFERTA TRANSFER ;;;;782194.46;3099.48;6309.23;791603.17;87;16;;;;;
Detalle;FC;A;1114-08061588;;;;;;;;;7798137190369;TIMALERG SOL.OFT. X2.5ML;208000;100413.77;0;753.1;101166.87;8;;Eticos;ROFINA SACIF (MAX VISION);Producto Exento;0;12551.72125
Detalle;FC;A;1114-08061588;;;;;;;;;7798195031239;UNIFRESH SALINA SOLUC. X360ML;19020;9181.14;0;68.86;9250;3;;O. T. C.;ROFINA SACIF (MAX VISION);Producto Exento;0;3060.38
Detalle;FC;A;1114-08061588;;;;;;;;;7795368054729;ALKET SOL.OFT. X5ML;124100;59910.37;0;449.33;60359.7;5;;Eticos;ROFINA SACIF (MAX VISION);Producto Exento;0;11982.074
Detalle;FC;A;1114-08061588;;;;;;;;;7798137190123;FLOMOX SOL.OFT. X5ML;123560;59649.66;0;447.37;60097.03;4;;Eticos;ROFINA SACIF (MAX VISION);Producto Exento;0;14912.415
Detalle;FC;A;1114-08061588;;;;;;;;;7798137190246;DIABO 250MG COMPR. X50;330300;159454.54;0;1195.91;160650.45;10;;Eticos;ROFINA SACIF (MAX VISION);Producto Exento;0;15945.454
