TIPO LINEA;TIPO;LETRA;NUMERO FORMATEADO;FECHA;CAEA NRO;CAEA VTO;COD CLIENTE;CUIT;RAZON SOCIAL;RESUMEN;TIPO PEDIDO;CODIGO BARRA;DESCRIPCION;PCIO VTA PUB;BASE EXCENTA+GRAVADO;IVA;OTROS IMPUESTOS;IMPORTE TOTAL;UNIDADES;LINEAS;CLASIF PRODUCTO;LABORATORIO;CONDICION IVA;PORC IVA;PCIO UNITARIO
Cabecera;FC;A;1114-08132800;01/04/2025;C.A.E.A. Nro.: 35135279779015;Fecha de Vencimiento: 15/04/2025;4793126;30-70882226-0;NUEVA VILLA SRL;13;OFERTA TRANSFER ;;;;1000597.23;0;15008.96;1015606.19;300;1;;;;;
Detalle;FC;A;1114-08132800;;;;;;;;;7791171000427;REGULANE COMPR. X10;1560069;1000597.23;0;15008.96;1015606.19;300;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;3335.3241
Cabecera;FC;A;1114-08132801;01/04/2025;C.A.E.A. Nro.: 35135279779015;Fecha de Vencimiento: 15/04/2025;4793126;30-70882226-0;NUEVA VILLA SRL;13;OFERTA TRANSFER ;;;;657872.94;92102.48;23025.59;773001.01;66;5;;;;;
Detalle;FC;A;1114-08132801;;;;;;;;;7795371000348;BREXELL PLUS COM.RE X2;271800;168703.45;0;2530.55;171234;6;;Eticos;DISPROFARMA SA (TRB);Producto Exento;0;28117.24167
Detalle;FC;A;1114-08132801;;;;;;;;;7795371000980;ARTROSIL ROL.ON X90GR;353160.3;154037.69;32347.91;6931.7;193317.3;30;;O. T. C.;DISPROFARMA SA (TRB);Producto Gravado;21;5134.58967
Detalle;FC;A;1114-08132801;;;;;;;;;7795371459603;ULTRAFLEX HMB/3000 POLVO X420G;517104;253738.05;53284.99;11418.21;318441.25;12;;Alimentos;DISPROFARMA SA (TRB);Producto Gravado;21;21144.8375
Detalle;FC;A;1114-08132801;;;;;;;;;7795371458675;DICLOGESIC GEL X50G;97800;50586.21;0;758.79;51345;12;;O. T. C.;DISPROFARMA SA (TRB);Producto Exento;0;4215.5175
Detalle;FC;A;1114-08132801;;;;;;;;;7795371000980;ARTROSIL ROL.ON X90GR;70632.06;30807.54;6469.58;1386.34;38663.46;6;;O. T. C.;DISPROFARMA SA (TRB);Producto Gravado;21;5134.59
Cabecera;FC;A;1114-08132802;01/04/2025;C.A.E.A. Nro.: 35135279779015;Fecha de Vencimiento: 15/04/2025;4793126;30-70882226-0;NUEVA VILLA SRL;13;OFERTA TRANSFER ;;;;312404.91;0;4686.07;317090.98;150;2;;;;;
Detalle;FC;A;1114-08132802;;;;;;;;;7798140257325;TAFIROL ESPASMO COM.RE X10;59517.5;20826.99;0;312.4;21139.39;10;;O. T. C.;GENOMMA (OTC);Producto Exento;0;2082.699
Detalle;FC;A;1114-08132802;;;;;;;;;7798140257325;TAFIROL ESPASMO COM.RE X10;833245;291577.92;0;4373.67;295951.59;140;;O. T. C.;GENOMMA (OTC);Producto Exento;0;2082.69943
Cabecera;FC;A;1114-08132803;01/04/2025;C.A.E.A. Nro.: 35135279779015;Fecha de Vencimiento: 15/04/2025;4793126;30-70882226-0;NUEVA VILLA SRL;13;OFERTA TRANSFER ;;;;11800613.51;0;177009.2;11977622.71;660;35;;;;;
Detalle;FC;A;1114-08132803;;;;;;;;;7791171000335;CALMADOR PLUS COM.RE X30;115849.76;74303.65;0;1114.55;75418.2;4;;Eticos;ROFINA SACIF (FINADIET);Producto Exento;0;18575.9125
