Fecha;CodBarra;Producto;Cantidad;Precio Público;Precio Unit.;Importe;Faltas
1/4/2025;7798084684751;IDENA 150 MG CPR X 2;00003;59.966,45;38.468,48;115.405,44;00000;
1/4/2025;7798084680210;QUETIAZIC 25 MG CPR X 60;00004;71.806,33;46.063,76;184.255,04;00000;
1/4/2025;7798084682801;PREBICTAL 150 MG CAP X 28;00003;54.238,71;34.794,13;104.382,39;00000;
1/4/2025;7798084687042;APATRIX 30 MG CAP X 30;00014;33.367,45;21.405,22;299.673,08;00000;
1/4/2025;7798084685215;ALPERTAN D 80/12,5 MG CPR REC X 28;00005;29.518,72;18.936,26;94.681,30;00000;
1/4/2025;7798084683310;NOSTER D 5/160/12,5 MG CPR X 28;00012;55.139,84;35.372,21;424.466,52;00000;
1/4/2025;7798084682191;ULTRANEURAL 600 MG CPR X 30;00003;43.918,08;28.173,45;84.520,35;00000;
1/4/2025;7798084686267;LEVAXON 1000 MG CPR X 30;00003;123.429,03;79.179,72;237.539,16;00000;
1/4/2025;7798084685772;FLEXIDOL RELAX CB CAP X 10;00003;12.400,76;7.955,09;23.865,27;00000;
1/4/2025;7798084684553;FLEXIDOL RELAX CPR X 20;00012;23.786,94;15.259,32;183.111,84;00000;
1/4/2025;7792219911828;REMIZERAL 9,5 MG/24 HS PARCHES X 30;00000;104.391,40;0,00;0,00;00003;
1/4/2025;7798084685611;XUMER 60 MG CPR X 28;00003;30.003,37;19.247,16;57.741,48;00000;
1/4/2025;7798084682177;ULTRANEURAL 300 MG CPR X 30;00003;31.911,54;20.471,25;61.413,75;00000;
1/4/2025;7798084680326;QUETIAZIC 300 MG CPR X 30;00002;114.230,57;73.278,91;146.557,82;00000;
1/4/2025;7798084684966;TOPICTAL 50 MG CPR X 56;00002;80.237,74;51.472,51;102.945,02;00000;
1/4/2025;7798084685291;REDUPROST 0,4 MG CAP X 60;00003;77.988,05;50.029,33;150.087,99;00000;
1/4/2025;7798084686083;VILZER 50 MG CPR X 60;00008;79.861,07;51.230,88;409.847,04;00000;
1/4/2025;7798084684171;ALPERTAN 160 MG CPR REC X 28;00038;34.907,64;22.393,25;850.943,50;00000;
1/4/2025;7798084682740;ULTRANEURAL 300 MG CPR X 60;00004;63.406,06;40.674,99;162.699,96;00000;
1/4/2025;7798084684713;COLMIBE 10/10 MG CPR X 30;00010;39.151,41;25.115,63;251.156,30;00000;
1/4/2025;7798084683198;REDUPROST DUO CPR X 30;00016;65.224,45;41.841,48;669.463,68;00000;
1/4/2025;7798084683693;LIPIFEN 40 MG CPR X 30;00003;62.697,59;40.220,50;120.661,50;00000;
1/4/2025;7798084680067;ATENIX  25 MG CPR X 30;00005;9.867,22;6.329,82;31.649,10;00000;
1/4/2025;7798084684546;FLEXIDOL RELAX CPR X 10;00008;12.126,96;7.779,44;62.235,52;00000;
1/4/2025;7798084682160;ULTRANEURAL 100 MG CPR X 30;00003;19.575,04;12.557,39;37.672,17;00000;
1/4/2025;7798084685468;DEBLAX 100000 UI CAP X 2;00006;16.238,46;10.416,97;62.501,82;00000;
1/4/2025;7798084680012;DELAK 5 MG CPR X 30;00002;24.002,01;15.397,29;30.794,58;00000;
1/4/2025;7798084685352;VEDIPAL 1000 MG CPR X 30;00012;52.480,76;33.666,41;403.996,92;00000;
1/4/2025;7798084686298;ULTRAGESIC CB 50 MG CAP X 30;00006;19.742,38;12.664,74;75.988,44;00000;
1/4/2025;7798084686274;ULTRAGESIC CB 50 MG CAP X 10;00003;9.091,08;5.831,93;17.495,79;00000;
1/4/2025;7798084683181;FAPRIS 100 MG CPR X 30;00003;62.345,41;39.994,58;119.983,74;00000;
1/4/2025;7798084684539;IDENA 150 MG CPR X 1;00012;35.341,56;22.671,61;272.059,32;00000;
1/4/2025;7798084682986;LACOTEM 100 MG CPR X 30;00002;91.606,79;58.765,76;117.531,52;00000;
1/4/2025;7798084685154;CABERTRIX 0,5 MG CPR X 2;00001;19.908,16;12.771,08;12.771,08;00001;
1/4/2025;7798084684942;KIR 28 CPR REC X 28;00003;29.203,49;18.734,04;56.202,12;00000;
1/4/2025;7798084686458;XAROBAN 15 MG CPR X 30;00005;89.559,66;57.452,52;287.262,60;00000;
1/4/2025;7798084682016;TOPICTAL 50 MG CPR X 28;00002;41.513,73;26.631,06;53.262,12;00000;
1/4/2025;7798084680081;ATENIX  50 MG CPR X 30;00040;26.548,52;17.030,88;681.235,20;00000;
1/4/2025;7798084685284;PANKREOFLAT AD CPR REC X 20;00003;18.240,74;11.701,43;35.104,29;00000;
1/4/2025;7798084684386;QUETIAZIC 100 MG CPR X 30;00010;75.240,86;48.267,01;482.670,10;00000;
1/4/2025;7798084686076;VILZER 50 MG CPR X 30;00004;41.862,41;26.854,74;107.418,96;00000;
1/4/2025;7798084686991;ZURCAL 40 MG CPR X 30;00002;15.951,29;10.232,75;20.465,50;00000;
1/4/2025;7798084680821;MUTUM 150 MG CPR X 4;00004;28.154,88;18.061,36;72.245,44;00000;
1/4/2025;7798084683655;ALPERTAN 320 MG CPR REC X 28;00006;36.678,54;23.529,28;141.175,68;00000;
1/4/2025;7798084683617;COLMIBE 40/10 MG CPR X 30;00006;68.762,55;44.111,18;264.667,08;00000;
1/4/2025;7798084685000;ATENIX 100 MG CPR X 30;00018;45.255,70;29.031,53;522.567,54;00000;
1/4/2025;7798084682108;DOZIC 2 MG CPR X 60;00003;79.294,59;50.867,48;152.602,44;00000;
1/4/2025;7798084684157;ALPERTAN 80 MG CPR REC X 28;00028;26.773,34;17.175,10;480.902,80;00000;
1/4/2025;7798084680876;REDUPROST 0,4 MG CAP X 30;00048;46.708,86;29.963,73;1.438.259,04;00000;
1/4/2025;7792219911835;REMIZERAL 13,3 MG/24HS PARCHES X 30;00000;113.557,23;0,00;0,00;00002;
1/4/2025;7798084684348;REDUSTEROL DUO 10/10 MG CPR X 30;00002;22.786,57;14.617,58;29.235,16;00000;
1/4/2025;7798084680272;FLEXIDOL 15 MG CPR X 30;00008;30.015,25;19.254,78;154.038,24;00000;
