TIPO LINEA	TIPO	LETRA	NUMERO FORMATEADO	FECHA	CAEA NRO	CAEA VTO	COD CLIENTE	CUIT	RAZON SOCIAL	RESUMEN	TIPO PEDIDO	CODIGO BARRA	DESCRIPCION	PCIO VTA PUB	BASE EXCENTA+GRAVADO	IVA	OTROS IMPUESTOS	IMPORTE TOTAL	UNIDADES	LINEAS	CLASIF PRODUCTO	LABORATORIO	CONDICION IVA	PORC IVA	PCIO UNITARIO
Cabecera	FC	A	1114-08071604	08/02/2025	C.A.E.A. Nro.: 35045996448201	Fecha de Vencimiento: 15/02/2025	4793126	30-70882226-0	NUEVA VILLA SRL	6	OFERTA TRANSFER 				1320032.49	0	9900.25	1329932.74	67	5					
Detalle	FC	A	1114-08071604									7795356002770	ESOMEPRA 20MG CAPSU. X7 FLOWPACK X20	436770.76	210854.87	0	1581.41	212436.28	4		Eticos	DISPROFARMA SA (SIDUS)	Producto Exento	0	52713.7175
Detalle	FC	A	1114-08071604									7795356000783	ESOMEPRA 40MG CAPSU. X28	776595.42	374908.09	0	2811.81	377719.9	18		Eticos	DISPROFARMA SA (SIDUS)	Producto Exento	0	20828.22722
Detalle	FC	A	1114-08071604									7795356000783	ESOMEPRA 40MG CAPSU. X28	1164893.13	562362.13	0	4217.72	566579.85	27		Eticos	DISPROFARMA SA (SIDUS)	Producto Exento	0	20828.22704
Detalle	FC	A	1114-08071604									7795356002657	ESOMEPRA 20MG CAPSU. X14	131485.52	63475.72	0	476.07	63951.79	8		Eticos	DISPROFARMA SA (SIDUS)	Producto Exento	0	7934.465
Detalle	FC	A	1114-08071604									7795356001971	ESOMEPRA 40MG CAPSU. X14	224608.4	108431.68	0	813.24	109244.92	10		Eticos	DISPROFARMA SA (SIDUS)	Producto Exento	0	10843.168
Cabecera	FC	A	1114-08071607	08/02/2025	C.A.E.A. Nro.: 35045996448201	Fecha de Vencimiento: 15/02/2025	4793126	30-70882226-0	NUEVA VILLA SRL	6	OFERTA TRANSFER 				6959585.44	0	52196.9	7011782.34	628	15					
Detalle	FC	A	1114-08071607									7790375251321	NEURYL 2MG COMPR. X50	366223.48	234888.3	0	1761.66	236649.96	23		Eticos	DISPROFARMA CC (BAGO)	Producto Exento	0	10212.53478
Detalle	FC	A	1114-08071607									7790375001513	TRANQUINAL 0.5MG COMPR. X50	264332.4	169538.81	0	1271.54	170810.35	30		Eticos	DISPROFARMA CC (BAGO)	Producto Exento	0	5651.29367
Detalle	FC	A	1114-08071607									7790375000776	GLIOTEN 10MG COMPR. X30	122272.32	78423.22	0	588.17	79011.39	12		Eticos	DISPROFARMA CC (BAGO)	Producto Exento	0	6535.26833
